epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1463.14,1.03223,2.39254,1.23566,0.75444,0.68737,0.75927,0.49717,1.03933,2.09284,1.33631,0.000415264,0.000415264,0.000415264
2,2677.43,1.06761,1.44651,1.23957,0.80268,0.69261,0.80805,0.5679,1.01697,1.61015,1.31471,0.000804477,0.000804477,0.000804477
3,4003.56,1.03858,1.12863,1.213,0.83004,0.80059,0.86113,0.63092,0.97766,1.03858,1.29956,0.00116619,0.00116619,0.00116619
4,4893.7,1.03172,1.02639,1.21124,0.8166,0.78834,0.86791,0.63393,0.95142,0.94183,1.28887,0.00112625,0.00112625,0.00112625
5,5691.12,0.98719,0.90971,1.18375,0.83403,0.84137,0.89554,0.66216,0.95117,0.87404,1.24882,0.001085,0.001085,0.001085
6,6539.74,0.97218,0.85457,1.17397,0.88117,0.8321,0.91211,0.6793,0.89707,0.78831,1.2082,0.00104375,0.00104375,0.00104375
7,7306.74,0.95254,0.80608,1.16432,0.91677,0.86831,0.93719,0.69576,0.89109,0.70164,1.22997,0.0010025,0.0010025,0.0010025
8,8090.44,0.93329,0.76313,1.15054,0.87371,0.88681,0.93304,0.71251,0.86145,0.65377,1.19592,0.00096125,0.00096125,0.00096125
9,9096.63,0.9147,0.72362,1.14052,0.90619,0.87981,0.93878,0.72015,0.83374,0.64746,1.17626,0.00092,0.00092,0.00092
10,10173.8,0.89681,0.68827,1.12638,0.9306,0.85905,0.93705,0.7194,0.83679,0.6183,1.176,0.00087875,0.00087875,0.00087875
11,18915.3,0.89571,0.69542,1.12764,0.89713,0.88521,0.93959,0.73904,0.8294,0.57683,1.17136,0.0008375,0.0008375,0.0008375
12,35993,0.88958,0.67025,1.12891,0.90008,0.90603,0.9349,0.72597,0.83171,0.59649,1.15271,0.00079625,0.00079625,0.00079625
13,37687.6,0.87583,0.64616,1.11094,0.94554,0.90242,0.95496,0.74225,0.80681,0.52335,1.1556,0.000755,0.000755,0.000755
14,38951.7,0.86853,0.62283,1.11396,0.92791,0.92578,0.9564,0.73551,0.83078,0.50516,1.17513,0.00071375,0.00071375,0.00071375
15,40171.6,0.84961,0.61163,1.10745,0.95358,0.91639,0.95664,0.74608,0.83399,0.49519,1.15835,0.0006725,0.0006725,0.0006725
16,41428.5,0.84879,0.60102,1.10451,0.94466,0.90503,0.94975,0.75585,0.77707,0.49579,1.14014,0.00063125,0.00063125,0.00063125
17,42719.4,0.82234,0.57463,1.08589,0.91389,0.91968,0.95675,0.76083,0.79953,0.50121,1.14213,0.00059,0.00059,0.00059
18,43716.2,0.81991,0.56391,1.08625,0.93725,0.91479,0.95646,0.75853,0.79235,0.4801,1.16344,0.00054875,0.00054875,0.00054875
19,44714.6,0.81618,0.55416,1.08137,0.95526,0.88764,0.95566,0.76235,0.78308,0.47841,1.14618,0.0005075,0.0005075,0.0005075
20,45853.4,0.80068,0.54154,1.07354,0.96994,0.89449,0.95961,0.77129,0.76206,0.4453,1.13651,0.00046625,0.00046625,0.00046625
21,47140.7,0.74626,0.46604,1.04492,0.93899,0.92656,0.964,0.76275,0.77612,0.44878,1.14504,0.000425,0.000425,0.000425
22,48511.7,0.73718,0.45799,1.04453,0.93381,0.93417,0.96566,0.77613,0.78463,0.43921,1.12565,0.00038375,0.00038375,0.00038375
23,49459.9,0.72941,0.44657,1.03398,0.93996,0.93087,0.96253,0.78081,0.76739,0.43217,1.11201,0.0003425,0.0003425,0.0003425
24,91170.2,0.70944,0.41986,1.02409,0.96,0.91684,0.96826,0.79477,0.74707,0.41609,1.10928,0.00030125,0.00030125,0.00030125
25,92547.9,0.70758,0.40707,1.02359,0.95906,0.93297,0.96738,0.78869,0.75771,0.39808,1.10629,0.00026,0.00026,0.00026
26,93584.5,0.70486,0.40425,1.0237,0.94647,0.92785,0.96384,0.7933,0.73527,0.39848,1.10443,0.00021875,0.00021875,0.00021875
27,94481.8,0.68927,0.39538,1.01285,0.93313,0.95569,0.96646,0.7956,0.74691,0.39375,1.09634,0.0001775,0.0001775,0.0001775
28,95756.5,0.67384,0.37483,1.00407,0.95078,0.9515,0.96951,0.7994,0.7275,0.37964,1.0869,0.00013625,0.00013625,0.00013625
29,96598.3,0.668,0.3872,0.99576,0.94052,0.94597,0.9666,0.80046,0.73747,0.38281,1.0959,9.5e-05,9.5e-05,9.5e-05
30,97382.5,0.65972,0.35856,0.99744,0.94643,0.94305,0.9665,0.79756,0.735,0.38145,1.08998,5.375e-05,5.375e-05,5.375e-05
